Year-Month,Value
1880-01,-0.18
1880-02,-0.24
1880-03,-0.09
1880-04,-0.16
1880-05,-0.1
1880-06,-0.21
1880-07,-0.18
1880-08,-0.1
1880-09,-0.15
1880-10,-0.23
1880-11,-0.22
1880-12,-0.17
1881-01,-0.2
1881-02,-0.14
1881-03,0.03
1881-04,0.05
1881-05,0.06
1881-06,-0.19
1881-07,0.0
1881-08,-0.04
1881-09,-0.15
1881-10,-0.22
1881-11,-0.19
1881-12,-0.07
1882-01,0.16
1882-02,0.14
1882-03,0.04
1882-04,-0.16
1882-05,-0.14
1882-06,-0.22
1882-07,-0.17
1882-08,-0.08
1882-09,-0.15
1882-10,-0.24
1882-11,-0.17
1882-12,-0.36
1883-01,-0.29
1883-02,-0.37
1883-03,-0.12
1883-04,-0.18
1883-05,-0.18
1883-06,-0.07
1883-07,-0.07
1883-08,-0.14
1883-09,-0.22
1883-10,-0.11
1883-11,-0.24
1883-12,-0.11
1884-01,-0.13
1884-02,-0.09
1884-03,-0.37
1884-04,-0.4
1884-05,-0.34
1884-06,-0.35
1884-07,-0.31
1884-08,-0.28
1884-09,-0.27
1884-10,-0.25
1884-11,-0.33
1884-12,-0.31
1885-01,-0.59
1885-02,-0.34
1885-03,-0.26
1885-04,-0.42
1885-05,-0.45
1885-06,-0.44
1885-07,-0.34
1885-08,-0.31
1885-09,-0.29
1885-10,-0.24
1885-11,-0.24
1885-12,-0.11
1886-01,-0.44
1886-02,-0.51
1886-03,-0.43
1886-04,-0.28
1886-05,-0.25
1886-06,-0.35
1886-07,-0.18
1886-08,-0.31
1886-09,-0.24
1886-10,-0.28
1886-11,-0.28
1886-12,-0.26
1887-01,-0.72
1887-02,-0.57
1887-03,-0.36
1887-04,-0.35
1887-05,-0.31
1887-06,-0.25
1887-07,-0.26
1887-08,-0.36
1887-09,-0.26
1887-10,-0.36
1887-11,-0.27
1887-12,-0.33
1888-01,-0.34
1888-02,-0.36
1888-03,-0.41
1888-04,-0.2
1888-05,-0.22
1888-06,-0.17
1888-07,-0.11
1888-08,-0.16
1888-09,-0.12
1888-10,0.01
1888-11,0.02
1888-12,-0.04
1889-01,-0.09
1889-02,0.16
1889-03,0.06
1889-04,0.09
1889-05,-0.01
1889-06,-0.1
1889-07,-0.08
1889-08,-0.2
1889-09,-0.24
1889-10,-0.25
1889-11,-0.33
1889-12,-0.29
1890-01,-0.42
1890-02,-0.45
1890-03,-0.4
1890-04,-0.3
1890-05,-0.39
1890-06,-0.25
1890-07,-0.28
1890-08,-0.39
1890-09,-0.37
1890-10,-0.25
1890-11,-0.43
1890-12,-0.31
1891-01,-0.34
1891-02,-0.47
1891-03,-0.18
1891-04,-0.27
1891-05,-0.16
1891-06,-0.21
1891-07,-0.18
1891-08,-0.17
1891-09,-0.16
1891-10,-0.22
1891-11,-0.31
1891-12,-0.04
1892-01,-0.29
1892-02,-0.11
1892-03,-0.4
1892-04,-0.33
1892-05,-0.23
1892-06,-0.22
1892-07,-0.32
1892-08,-0.27
1892-09,-0.17
1892-10,-0.14
1892-11,-0.42
1892-12,-0.38
1893-01,-0.81
1893-02,-0.57
1893-03,-0.22
1893-04,-0.27
1893-05,-0.33
1893-06,-0.26
1893-07,-0.14
1893-08,-0.25
1893-09,-0.22
1893-10,-0.19
1893-11,-0.19
1893-12,-0.34
1894-01,-0.53
1894-02,-0.31
1894-03,-0.23
1894-04,-0.45
1894-05,-0.32
1894-06,-0.41
1894-07,-0.25
1894-08,-0.25
1894-09,-0.29
1894-10,-0.24
1894-11,-0.27
